summary,role,text
60 - 166.tsv,AGENT,"you've obviously inserted the cd while still in windows.. do you want to keep windows on the computer and also have Ubuntu or would you like to wipe windows off and just have Ubuntu.. or still yet, do you want to just test Ubuntu out while in the windows environment?"
60 - 166.tsv,CUSTOMER,"im just worried if ubunto doesnt work, then im screwed right?"
60 - 166.tsv,AGENT,in that case leave the cd in the drive and reboot the computer.. if the boot order goes to cd first then the live cd will boot and you can test the functionality of Ubuntu on your hardware.. being a live cd it won't touch the harddrive until you actually install.. it'll be much slower but functional.
60 - 166.tsv,AGENT,if there are issues then with the live cd come back here and talk about them.. there might be answers to the issues.. when ready double click the install icon
60 - 166.tsv,AGENT,ok
60 - 166.tsv,CUSTOMER,a loading screen with a organge bar going back and forth like a game of ping
60 - 166.tsv,AGENT,that's good.. it might take a minute or two
60 - 166.tsv,CUSTOMER,"ok well a peachish background came up, the sound of bongos played, then the screen just went black"
60 - 166.tsv,AGENT,what kind of video card do you have.?
60 - 166.tsv,CUSTOMER,before the backgroudn loaded it said something like timedout....
60 - 166.tsv,AGENT,is this a newer computer?
60 - 166.tsv,AGENT,on reboot you had a menu that gave you the choice of windows or ubuntu.. did you install ubuntu already with wubi?
60 - 166.tsv,CUSTOMER,"should i use wubi, get to login screen then go to terminal mode and put some commands in"
60 - 166.tsv,AGENT,uninstalled what?
60 - 166.tsv,AGENT,so wubi was first and you uninstalled that .. except now when you boot you still get a menu?
60 - 166.tsv,CUSTOMER,"wubi i used first, installed that no icons on destop, uninstalled using wubi once again"
60 - 166.tsv,CUSTOMER,yes i sitll get a menu
60 - 166.tsv,AGENT,with the black screen displaying can you click ctrl+alt+F3 and get a different black screen with a prompt?
60 - 166.tsv,CUSTOMER,lemme try
60 - 166.tsv,AGENT,when you reboot you might try to get into the bios of the machine and look at the boot order.. in fact on a dell you might be able to hit a key on boot to boot directly from the cd.. if there is that option reboot and choose that.. otherwise you'll have to look in the bios to rearrange the boot order of things so the cd is first and the harddrive is second.. then you should be able to boot dir
60 - 166.tsv,CUSTOMER,ok i will try
60 - 166.tsv,CUSTOMER,just to be certain whats the rite way to unstinall ubuntu to make sure i did it right?
60 - 166.tsv,AGENT,from wubi?  I've no idea.. never used wubi
60 - 166.tsv,AGENT,so you have a black screen with a prompt
60 - 166.tsv,AGENT,ah good.. yep
60 - 166.tsv,AGENT,then it will buzz & wurr for a bit and leave you at the standard ubuntu desktop
60 - 166.tsv,AGENT,is this the live cd or the alternate cd?
60 - 166.tsv,CUSTOMER,the livecd from which i burend using the iso image
60 - 166.tsv,AGENT,click install ubuntu.. it won't .. it'll just take you to the live desktop..
60 - 166.tsv,AGENT,??
60 - 166.tsv,AGENT,that's a new one on me.. there is a wiki or something on dell's site for linux.. you might investigate there and search for your specific dell to see what issues people are having.. I suspect that there's a piece of hardware that's hanging everything up.. My new motherboard is like that.. took me two days to find an answer.
60 - 166.tsv,AGENT,np.. sorry I can't be of more help
60 - 166.tsv,AGENT,well if the live cd doesn't run the chances of it working without knowing what is currently wrong now is slim.. you have to solve that issue first.
60 - 166.tsv,AGENT,really.. what's the answer?
60 - 166.tsv,AGENT,so the screen is working?  good .. just keep going and for space tell it to use the entire drive..
60 - 166.tsv,AGENT,so he stopped you from installing or are you continuing?
60 - 166.tsv,AGENT,so you're running the live cd? or back to windows? or what?
60 - 166.tsv,AGENT,cool.. will your dad approve? or be pissed?
60 - 166.tsv,AGENT,full install takes less space than windows.. and it has all the programs you need typically.. then you can add tons more.
60 - 166.tsv,AGENT,I take it this is your machine?
60 - 166.tsv,AGENT,you in college yet?
60 - 166.tsv,AGENT,you're pretty adventerous.. it's a great time for you to learn linux.. I'll help you a lot in the future..
60 - 166.tsv,AGENT,It's a good place to be.. I'm just an old dog learning new tricks
60 - 166.tsv,AGENT,/nick <new name>
60 - 425.tsv,CUSTOMER,k
60 - 425.tsv,AGENT,yes
60 - 425.tsv,CUSTOMER, gnome=terminal
60 - 425.tsv,CUSTOMER," gnome-terminal, type that"
60 - 425.tsv,CUSTOMER,you could try ggoing to the homepage
60 - 425.tsv,CUSTOMER,http://www.skype.com/
60 - 425.tsv,AGENT,ok i will try
60 - 425.tsv,CUSTOMER,try apt-cache search skype to see if it's in your cache
60 - 425.tsv,CUSTOMER,http://ubuntuguide.org/#skype -- this may help
60 - 425.tsv,CUSTOMER,The debian package at Skype site should be good too
60 - 425.tsv,CUSTOMER,Thats' what we gdo here
60 - 425.tsv,CUSTOMER,help each other out :)
60 - 425.tsv,CUSTOMER,oh ok.. just type Ds and tab
60 - 425.tsv,CUSTOMER,You see a list of persons that start with Ds in the room
60 - 425.tsv,AGENT,yoo! thanks you very much!!
60 - 425.tsv,CUSTOMER,You are welcome
60 - 425.tsv,AGENT," ok I did, now I am click on 'Skype', and nothing..."
60 - 425.tsv,CUSTOMER,Good luck with Skype
60 - 425.tsv,AGENT,I mean the program isn't working...
60 - 425.tsv,CUSTOMER, you downloading the debinan version?
60 - 425.tsv,AGENT,yes
60 - 425.tsv,AGENT,I did all that were writed there
60 - 425.tsv,CUSTOMER,ok.. and nothing
60 - 425.tsv,CUSTOMER, http://ubuntuforums.org/showthread.php?p=125550#post125550
60 - 425.tsv,CUSTOMER, try that
60 - 425.tsv,AGENT,ok i willtry
60 - 425.tsv,AGENT,Are just you seeing this maasage or everyone?
60 - 425.tsv,CUSTOMER,The ubuntu forums is good too. So here's a link. http://ubuntuforums.org/archive/index.php/t-25488.html You may need all the help :)
60 - 425.tsv,CUSTOMER,I am seeing everyone's messag too :)
60 - 425.tsv,AGENT,thank you very much. i will try it
60 - 425.tsv,CUSTOMER,Yup and goodluck
60 - 425.tsv,CUSTOMER,better :)
60 - 425.tsv,CUSTOMER,keeping working on it...where are you from?
60 - 425.tsv,AGENT, Israel ;) i have 70/100 in english lesson :(
60 - 425.tsv,CUSTOMER,good
60 - 425.tsv,AGENT,"it's very bad, never mind, I am trying to do what writed in the forum, and it's writeing me 'alien command not found'"
60 - 425.tsv,CUSTOMER,Which one did you try?
60 - 425.tsv,AGENT, the first http://ubuntuforums.org/showthread.php?p=125550#post125550
60 - 425.tsv,AGENT," I also tryed to do this http://ubuntuguide.org/#skype but it's not help.. I am see 'Skype' in menu but when I am click on the program, nothing is happen"
60 - 425.tsv,CUSTOMER,does use the command with alien...that is not for Debian based distros
60 - 425.tsv,AGENT,so what to do?
60 - 425.tsv,AGENT,so what I need to do?
60 - 425.tsv,CUSTOMER,pm me
60 - 425.tsv,CUSTOMER,I just walk you through the steps
60 - 425.tsv,CUSTOMER,your not responding
60 - 425.tsv,CUSTOMER,I'll just do it here
60 - 425.tsv,CUSTOMER,you got your terminal up?
60 - 425.tsv,AGENT," Do u see my pm massages, don't u?"
60 - 425.tsv,CUSTOMER,sudo apt-get install libqt3c102-mt #-  you going to need thisfile
60 - 425.tsv,AGENT,how can i copy from this program??
60 - 425.tsv,CUSTOMER,what  program are you using?
60 - 425.tsv,CUSTOMER,are you on a linux box
60 - 425.tsv,AGENT,"OK never mind, I will install it leter"
60 - 425.tsv,AGENT,"OK never mind, I will install it later"
60 - 425.tsv,CUSTOMER,ok
60 - 425.tsv,AGENT,Thank you very much for the help
60 - 425.tsv,CUSTOMER,sure no prob
60 - 425.tsv,CUSTOMER, you dont want to tdo tha.....you get spammed like mad
60 - 425.tsv,AGENT,What did u do?
60 - 425.tsv,CUSTOMER, They'll spam you know
60 - 30.tsv,CUSTOMER,hi all
60 - 30.tsv,CUSTOMER,I'm having difficulties installing 11.04 LTS 32-bit on my desktop
60 - 30.tsv,CUSTOMER,is there anyone around who can help me?
60 - 30.tsv,CUSTOMER,"well, I can get it to boot the live-cd"
60 - 30.tsv,AGENT,What is the issue?
60 - 30.tsv,AGENT,All on one line please.  and get to the point :)
60 - 30.tsv,AGENT,I've heard about that before.  Is this machine online when the ubuntu installer is running?  (is this a liveCd or liveUSB?)
60 - 30.tsv,CUSTOMER,this machine is online
60 - 30.tsv,AGENT,Can you take a screenshot of the installer in it's frozen state? and paste it on imageshack.us
60 - 30.tsv,AGENT,ok
60 - 30.tsv,AGENT,device sr0 is the CD
60 - 30.tsv,AGENT,Many many i/o errors are very common on liveCDs
60 - 30.tsv,AGENT,the freeze or the i/o errors?
60 - 30.tsv,AGENT,I don't remember the installer well enough to follow.  Is it now unfrozen?
60 - 30.tsv,AGENT,Just finish the install without doing anyting extra
60 - 30.tsv,AGENT,Does it freeze regardless of the check boxes?
60 - 30.tsv,CUSTOMER,I'll now find out... I have tried all options except for checking NONE of the boxes
60 - 30.tsv,AGENT,haha ok :)
60 - 30.tsv,AGENT,does the rest of the liveCD work?
60 - 30.tsv,AGENT,I mean right now.  Is the whole thing frozen or just the installer
60 - 30.tsv,CUSTOMER,I'm booting into live now... see if everything works there...
60 - 30.tsv,AGENT,k
60 - 30.tsv,AGENT,"good idea, burn slow (or use liveUSB, I recommend liveUSB if possible)"
60 - 30.tsv,AGENT,64bit is fine
60 - 30.tsv,AGENT,there are many ways: https://help.ubuntu.com/community/USB%20Installation%20Media
60 - 30.tsv,AGENT,https://help.ubuntu.com/community/Installation/FromUSBStick#Creating%20a%20bootable%20Ubuntu%20USB%20flash%20drive
60 - 30.tsv,AGENT,Great :/
60 - 30.tsv,AGENT,I suggest just downloading the ISO again (check the md5 sum) and make a liveUSB instead of liveCD. If the problem persists I can suggest some more things
60 - 30.tsv,AGENT,the installer is picky lately IMO
60 - 30.tsv,AGENT,yay :)
60 - 30.tsv,AGENT,give it some time
60 - 30.tsv,AGENT,":) great, boot that (you made a USB drive right?)"
60 - 30.tsv,AGENT,yep
60 - 30.tsv,AGENT,k
60 - 30.tsv,CUSTOMER,got into the graphical installer again
60 - 30.tsv,AGENT,k
60 - 30.tsv,CUSTOMER,still nothing
60 - 30.tsv,AGENT,frozen ?
60 - 30.tsv,AGENT,open gparted
60 - 30.tsv,AGENT,open gparted
60 - 30.tsv,CUSTOMER,'Failed to run /user/sbin/gparted as user root'
60 - 30.tsv,AGENT,run it via the gui
60 - 30.tsv,CUSTOMER,"I did, just double-clicked it..."
60 - 30.tsv,AGENT,sudo gparted in a term    ?
60 - 30.tsv,AGENT,the liveCD is a full OS.  What are you talking about?
60 - 30.tsv,AGENT,choose 'try ubuntu' you can install either way (it's a stupid choice)
60 - 30.tsv,AGENT,Do any of the partitions have any errors? red !'s or orange triangles or similar?
60 - 30.tsv,AGENT,I thought so.  Are they NTFS partitions?
60 - 30.tsv,AGENT,Use windows to check all your partitions.  Something is wrong with them and it is causing hte installer to crash
60 - 30.tsv,AGENT,yay
60 - 30.tsv,AGENT,I don't really know the details of fixing it other than making a new partition table (GPT) may delete everything
60 - 30.tsv,AGENT,:D
60 - 30.tsv,AGENT,hahah :(
60 - 30.tsv,AGENT,ict ?
60 - 30.tsv,AGENT,check the anyway
60 - 30.tsv,AGENT,:)
60 - 30.tsv,AGENT,They took fixmbr out?!
60 - 30.tsv,AGENT,?
60 - 30.tsv,AGENT,fdisk is still in ubuntu
60 - 30.tsv,AGENT,gparted is not good at fixing ntfs partitions.  I strongly recommend you use windows to fix it
60 - 233.tsv,CUSTOMER,"I upgraded from Ubuntu 7.04 to 7.10 last night and now I can't boot up :/. I get the error 'kernel panic-not syncinc:VFS:unable to mount root fs'. Booting to the old kernel makes it to the graphical login, but hangs... I can log in through terminal. the menu.lst has the same root and kernel-'root=' setting for both the new and old kernels. How can I fix this so I can get on my computer again?"
60 - 233.tsv,CUSTOMER,do you guys think if I upgrade through the terminal login (since I can't get graphical) the problem will go away??
60 - 233.tsv,AGENT,did you get any errors?
60 - 233.tsv,AGENT,did you get any errors during the upgrade or experience any problems?
60 - 233.tsv,CUSTOMER,"what do you mean? Whenever I try to boot up I get 'kernel panic-not syncing:VFS:unable to mount root fs on unkown-block (0,0)' I guess that can be considered an erro etc."
60 - 233.tsv,CUSTOMER,I don't recall any errors throught the installation. I was sleeping while it updated
60 - 233.tsv,AGENT,do you have initrd-tools installed on the system?
60 - 233.tsv,CUSTOMER,I don't believe I do. Not if it'd not bundled with ubuntu I don't
60 - 233.tsv,AGENT,are you on the machine now?
60 - 233.tsv,CUSTOMER,"no, I'm on another computer. I've been going back and forth on it all morning haha so it's no deal. Do you need any info for it"
60 - 233.tsv,AGENT,well on the broken computer try doing a dpkg-reconfigure of the linux-image-`uname -r`
60 - 233.tsv,AGENT,actually scratch that you don't need to get in to that.
60 - 233.tsv,AGENT,try to reinstall the kernel and update-grub
60 - 233.tsv,CUSTOMER,how do I re-install the kernel and update-grub?
60 - 233.tsv,AGENT,the problem may just be with your /boot/grub/menu.1st file on the system. But with out seeing the file its hard to tell.
60 - 233.tsv,AGENT,type in update-grub
60 - 233.tsv,CUSTOMER,I can tell you about my menu.lst
60 - 233.tsv,AGENT,are you able to paste it?
60 - 233.tsv,CUSTOMER,"no, but I have information for it."
60 - 233.tsv,CUSTOMER,menu.lst. has the same root and kernel-'root=' setting for both the new and the old kernel
60 - 233.tsv,CUSTOMER,what exactly do you need to know about my menu.lst
60 - 233.tsv,AGENT,does your menu.1st have initrd images listed under each kernel?
60 - 233.tsv,AGENT,and also what is the version of the kernel you are trying to boot 2.6.????
60 - 233.tsv,CUSTOMER,is this is? '/boot/vmlinuz-2.6.20-15-generic root=UUID=739367f4-5181-48ad-82c0-e7d028c6cf44 ro quiet splash'
60 - 233.tsv,CUSTOMER,"I can log in throguh terminal using 2.6.20-15, I can get to graphical login, bot it hangs."
60 - 233.tsv,AGENT,under that line should be something like initrd /boot/initrc.img-blah
60 - 233.tsv,AGENT,is that there?
60 - 233.tsv,AGENT,alright log in to the machine in recovery mode and run update-grub
60 - 233.tsv,CUSTOMER,sorry I was at the other machine. The old kernel (that I can get up to the graphical lagin to) has this line: 'initrd:  /boot/initrd.img-2.6.22-15 generic'
60 - 233.tsv,AGENT,okay. does the new one have a similary line just with the updated version numbers of 2.6.whatever
60 - 233.tsv,CUSTOMER,but the new kernel is missing that particual line. Should I still run the grub-update?
60 - 233.tsv,AGENT,yes. grub-update will try to recreate your menu.1st automatically is all.
60 - 233.tsv,AGENT,after grub-update is done check the menu.1st and you will need that initrd line for the new kernel. I'm just hoping it will add it for you.
60 - 233.tsv,CUSTOMER,"ok. so just run at terminal 'grub-update'. Once that is done, do you need the new kernel initrd or should it work?"
60 - 233.tsv,AGENT,yes run 'update-grub' at a terminal. Like I explained it should add the initrd line you need. but you can check yourself after it is done.
60 - 233.tsv,CUSTOMER,"that didn't add the line... do I need to upgrade maybe? I tried using another kernel, I am going to see if that works."
60 - 233.tsv,AGENT,I would try adding the line myself. Just copy one of the other ones the only thing that needs to change is the version number at the ends 2.6.etc....
60 - 233.tsv,AGENT,ifyou look at one of the entries that has the line its pretty self explanitory.
60 - 233.tsv,CUSTOMER,how do I add that like?
60 - 233.tsv,AGENT,edit the file with nano
60 - 233.tsv,AGENT,sudo nano /boot/grub/menu.lst
60 - 233.tsv,CUSTOMER,"thank you, and just add it?"
60 - 233.tsv,AGENT,after you are done editing save the file by hitting ctrl+w
60 - 233.tsv,AGENT,yeah just add it like the working kernels have.
60 - 233.tsv,AGENT,youc an back it up first to by sudo cp /boot/grub/menu.lst /boot/grub/menu.lst~
60 - 233.tsv,CUSTOMER,"even after adding in the line, it says the file isn't found... Should I download the kernel again or..?"
60 - 233.tsv,AGENT,what do you mean the file isn't found?
60 - 233.tsv,CUSTOMER,I guess the kernel didn't download properly. Do I have to re-download it?
60 - 233.tsv,AGENT,did the error message change?
60 - 233.tsv,CUSTOMER,"there's no more 'problem syncing' or whatever message, but now it says that the file can't be found. I can still access the other kernel, but it still hangs at graphical login.."
60 - 233.tsv,AGENT,sudo aptitude install initramfs-tools
60 - 233.tsv,AGENT,then update-grub again.
60 - 233.tsv,AGENT,you would have to update your /etc/apt/sources.list and change all references to gutsy then do a dist-upgrade.
60 - 233.tsv,CUSTOMER,crap really?? so that's even more things to take care of. Daaaamnnn :/
60 - 233.tsv,AGENT,what do yOU mean?
60 - 233.tsv,AGENT,Like I said it soundslike you are missing some packages particularly the inittramfs-tools
60 - 233.tsv,AGENT,sry one t there.
60 - 233.tsv,CUSTOMER,"well I figured that if I upgraded from 7.10 to 8.04 through the terminal, that might fix the problems :/"
60 - 233.tsv,CUSTOMER,"I tried getting the initramfs-tools, but it said I gotta disable something... and I don't know exactly what it is"
60 - 233.tsv,AGENT,well you need initramfs-tools to generate the missing file.
60 - 44.tsv,CUSTOMER,"Facebook, Hotmail and yahoo mail will NOT load"
60 - 44.tsv,CUSTOMER,I left the computer on for hours and it would not load facebook at all
60 - 44.tsv,CUSTOMER,I can no longer check my mail
60 - 44.tsv,CUSTOMER,No.
60 - 44.tsv,CUSTOMER,Its not the internet
60 - 44.tsv,CUSTOMER,its ubuntu
60 - 44.tsv,CUSTOMER,windows xp works fine
60 - 44.tsv,CUSTOMER,and vista
60 - 44.tsv,CUSTOMER,both load everything
60 - 44.tsv,CUSTOMER,Its has to have something to do with ubuntu being windows xp and vista both load hotmail facebook and yahoo mail
60 - 44.tsv,AGENT,is ubuntu detecting your network? (wireless?)
60 - 44.tsv,AGENT,is it not loading just those sites?
60 - 44.tsv,AGENT,that is unusual
60 - 44.tsv,AGENT,installed the latest X? as in an update or manually installed from another source?
60 - 44.tsv,CUSTOMER, The Lastest X made my OS stable without it my computer was crashing into the log in hence logging me out
60 - 44.tsv,CUSTOMER, Manually installed with multi lines using &&
60 - 44.tsv,AGENT,i don't know how X would affect the ability to use hotmail etc (it shouldn't make a difference)
60 - 44.tsv,AGENT,what prblems were you having with X that is on 10.10 default?
60 - 44.tsv,AGENT,what graphics card do you have?
60 - 44.tsv,AGENT,"well i'm stumped, if it was a graphics problem it would have pushed you to the cli, but you are able to get so far as to try to open a program then it crashes"
60 - 44.tsv,CUSTOMER," All I know is without the lastest X I'm screwed but, before I installed it firefox worked on every site"
60 - 44.tsv,AGENT,have you tried giving ubuntu+1 a go (11.04)
60 - 44.tsv,AGENT,at least you can tell if your graphics will work in the next release
60 - 44.tsv,AGENT,"i think so, but i'm trying to ascertain whether the X in 11.04 has been updated so that you don't run into the problem with the new release"
60 - 44.tsv,AGENT,one sec
60 - 44.tsv,AGENT,thats the alpha2: http://cdimage.ubuntu.com/releases/natty/alpha-2/
60 - 44.tsv,AGENT,i came across this: http://ubuntuforums.org/showthread.php?t=1603534
60 - 44.tsv,AGENT,"i'm not suggesting you switch to it, i just want to make sure the X in 11.04 will work for you"
60 - 44.tsv,AGENT,you need to copy it with root authority
60 - 44.tsv,AGENT,hang on
60 - 44.tsv,AGENT,sudo cp /path/to/file /path/to/copyto
60 - 44.tsv,AGENT,not sure if i got that command right
60 - 44.tsv,AGENT,where have you got the xorg.cong file now?
60 - 44.tsv,AGENT,sudo cp /home/zombie/Desktop/xorg.conf /etc/X11
60 - 44.tsv,AGENT,open a file manager and look in /etc/X11 is xorg.conf there?
60 - 44.tsv,AGENT,restart
60 - 44.tsv,AGENT,"sorry, i just realized that you're running an updated X, that was meant to be done on the default 10.10 X"
60 - 44.tsv,AGENT,you can delete the xorg.conf and it will return back to normal
60 - 44.tsv,AGENT,sudo rm /etc/X11/xorg.conf
60 - 44.tsv,AGENT,then another restart
60 - 44.tsv,AGENT,"welcome back, sorry about all that"
60 - 44.tsv,AGENT,do you have anything important on ubuntu?
60 - 44.tsv,AGENT,i'd recommend that you reinstall ubuntu 10.10 and see if you can get a fix for the Xorg crashes
60 - 44.tsv,AGENT,"there has to be a reason why X is crashing on 10.10, if you can find out why maybe it can be fixed (seems like we are swapping one problem for another)"
60 - 44.tsv,AGENT,welcome back
60 - 44.tsv,AGENT,"seems like it, though still don't know how or why"
60 - 44.tsv,AGENT,but wine and zsnes crashes?
60 - 44.tsv,AGENT,i think it was just half an hour
60 - 44.tsv,AGENT,time flys when you're having fun :)
60 - 44.tsv,AGENT,what do you use in wine (might be overkill but you could try virtualbox and a windows vm as an alternative)
60 - 44.tsv,AGENT,not sure what you mean by the updates messing with you?
60 - 44.tsv,AGENT,sounds rather vague
60 - 44.tsv,AGENT,"updates have always been rock solid for me, not sure what happened when you manually installed the new X last time but it must have messed something up"
60 - 44.tsv,AGENT,"i've always been a laptop guy myself, thinkpads have always worked great with ubuntu"
60 - 44.tsv,AGENT,yup
60 - 44.tsv,AGENT,did you see what was getting updated?
60 - 44.tsv,AGENT,hmm
60 - 44.tsv,AGENT,i must confess i'v never used apt-get from command line (more of a pacman guy myself)
60 - 44.tsv,AGENT,"i have to admt, i don't do anything when updating (to make sure the updates run smoothly)"
60 - 44.tsv,AGENT,i don't recommend that
60 - 286.tsv,CUSTOMER,How do i forward ports for my deluge torrent client ??????????????????
60 - 286.tsv,AGENT,"that usually depends on your rounter, not your os"
60 - 286.tsv,CUSTOMER,?
60 - 286.tsv,CUSTOMER,"in xp, i got proper portforwarding without configuring any. but here it always says 'no incoming connections'"
60 - 286.tsv,AGENT,"there are ways computers get around router port forwarding, such as upnp, but port forwarding will definitely work in ubuntu"
60 - 286.tsv,AGENT,"google search for deluge port forwarding, and you'll probably find a good guide"
60 - 286.tsv,CUSTOMER,ok..
60 - 286.tsv,AGENT,"don't worry, it's usually pretty easy!"
60 - 286.tsv,CUSTOMER,i like deluge more than transmission... deluge has good gui :P
60 - 286.tsv,AGENT,"heh, transmission is my favorite, but I haven't tried deluge yet."
60 - 286.tsv,CUSTOMER,mm! ok
60 - 286.tsv,CUSTOMER,do you know a way to check whether port is forwarded or not ??
60 - 286.tsv,AGENT,sometimes bittorrent clients will let you do that in the preferences... otherwise I saw a connection-checker-torrent on the internet a while back -- you could try searching for that
60 - 286.tsv,AGENT,"to actually set up port forwarding you need to log into your router, and that's what you'd need a guide for"
60 - 286.tsv,CUSTOMER,i entered my ip address in firefox. it asked for password and username.. i entered both.. then a page appeared.. but it had no word called 'port forward' :(
60 - 286.tsv,AGENT,it's labeled differently for many rounters.. I think mine was under security settings or something
60 - 286.tsv,CUSTOMER,i dont have a static ip.. so it will come ?
60 - 286.tsv,CUSTOMER,a DSL router i have from nokia siemens
60 - 286.tsv,AGENT,"sorry, what about a static ip?"
60 - 286.tsv,CUSTOMER,"but i saw a similar in portforward.com ... but the screenshot there has some options underwhich one can find portforwarding.......... for my, it is not showing that at all.. i have checked all in that page.."
60 - 286.tsv,AGENT,"hmm, try looking under all the preferences/settings for port forwarding. It should be there somewhere"
60 - 286.tsv,CUSTOMER,no matter what number i set.. transmission preferences windows shows 'port CLOSED' only ..   transmission cannot open ports by itself :P :P ??
60 - 286.tsv,AGENT,"yes, that's right. You have to open the port from your router, and then put that port number into transmission"
60 - 286.tsv,AGENT,you said you have a nokia siemens router?
60 - 286.tsv,CUSTOMER,True
60 - 286.tsv,CUSTOMER,but it doesnt match with the one in portforward.com
60 - 286.tsv,AGENT,could you find the model number on it? Different models will probably have different settings
60 - 286.tsv,CUSTOMER,is model number = mac number ??
60 - 286.tsv,AGENT,"no. mac number has to do with your network. your router should have the model number written on it somewhere, like nokia 1600 or something"
60 - 286.tsv,CUSTOMER,Nokia siemens networks. . .. residential router 1600 ......... rat8hg 12vdc  700 MA .............
60 - 286.tsv,CUSTOMER,yes yes yes. it is .. residential router 1600
60 - 286.tsv,AGENT,ok -- can you search for port forwarding for that specific router model?
60 - 286.tsv,CUSTOMER,ok.
60 - 286.tsv,CUSTOMER,thankyou for guiding.!
60 - 286.tsv,AGENT,no problem -- did you get it working?
60 - 286.tsv,CUSTOMER,no. but i'll .. later  /thanks
60 - 286.tsv,AGENT,alright. good luck!
60 - 286.tsv,AGENT,Dr_Willis : the alternate cd _can_ be used to upgrade -- just make sure you download the correct one for your system
60 - 286.tsv,CUSTOMER,ok.. before giving my frnd alternate 9.10.iso. i should give him all updates till date in 9.04.. right ?
60 - 286.tsv,CUSTOMER,or is this step not needed ?
60 - 286.tsv,AGENT,"it's recommened, but I'm not sure if it's actually needed. That's a very good question to ask this channel!"
60 - 286.tsv,CUSTOMER,"even my update manager has 300+ mb of updates.. but its not updating.... after entering password.. it says 'fix broken first' and in synaptic , it shows no broken packages to fix... now what say ?"
60 - 286.tsv,AGENT,try checking with the commandline: open terminal and type 'sudo apt-get install -f' without the quotes
60 - 286.tsv,CUSTOMER,"0 upgraded, 0 newly installed, 0 to remove and 1343 not upgraded."
60 - 286.tsv,AGENT,did you already start upgrading to 9.10?
60 - 286.tsv,AGENT,-- you shouldn't have that many packages waiting to be upgraded... I don't know why that happened
60 - 286.tsv,CUSTOMER,i always install updates daily
60 - 286.tsv,CUSTOMER,"but now, it says 380 mb to be updated... i enter your command and also entered autoremove command... but still update manager says 'fix broken first' but i have no broken in synaptic"
60 - 286.tsv,AGENT,could you check something for me? 'less /etc/apt/sources.lst' and see if they say 'jaunty'
60 - 286.tsv,CUSTOMER,hey. that command told 'no such file or directory'
60 - 286.tsv,AGENT,sorry! it should be 'less /etc/apt/sources.list'
60 - 286.tsv,AGENT,this is the file that tells apt-get what upgrades to download
60 - 286.tsv,CUSTOMER,http://paste.ubuntu.com/305895/ here go
60 - 286.tsv,AGENT,yeah they say karmic
60 - 286.tsv,AGENT,which means it thinks it's upgrading already
60 - 286.tsv,AGENT,try opening the file in nano and changing every instance of 'karmic' back to 'jaunty'
60 - 286.tsv,AGENT,then run sudo apt-get update
60 - 286.tsv,CUSTOMER," oh! ok,."
60 - 286.tsv,AGENT,"sorry, but I have to go. Good luck with everything!"
60 - 286.tsv,CUSTOMER,thanks.. thats helped me to fix.
60 - 82.tsv,CUSTOMER,omg
60 - 82.tsv,CUSTOMER,"why is yum insisting on pulling in adobe reader, when i only need flash"
60 - 82.tsv,CUSTOMER,>_<
60 - 82.tsv,AGENT,"this is ubuntu support, not redhat/fedora"
60 - 82.tsv,AGENT,"ok, please try to keep that noise out of the channel"
60 - 82.tsv,CUSTOMER,"he won't, even he uses the rpm command instead of yum"
60 - 82.tsv,AGENT,he won't what ?
60 - 82.tsv,CUSTOMER,"using an rpm command to remove a previous kernel will clean up the grub automatically, as opposed to yum, which will not. the ubuntu portion of grub will also be preserved"
60 - 82.tsv,AGENT,fedora will not update ubuntus grub config
60 - 82.tsv,AGENT,which is what I said
60 - 82.tsv,AGENT,no - it won't then
60 - 82.tsv,AGENT,"as ubuntu now uses grub2 which is manged from /etc from within ubuntus install, not /boot any more"
60 - 82.tsv,AGENT,hence why I'm saying it's not a real headache
60 - 82.tsv,AGENT,from where ?
60 - 82.tsv,AGENT,then they are not experimental
60 - 82.tsv,AGENT,doesn't look like it
60 - 82.tsv,AGENT,what part of 'stop talking about fedora' am I not making cleaer to you ?
60 - 82.tsv,AGENT,there are a few bugs logged for it that are being worked on
60 - 82.tsv,CUSTOMER,ok. this is a pretty big problem
60 - 82.tsv,AGENT,I'm well aware
60 - 82.tsv,AGENT,xorg is part of the alternative install
60 - 82.tsv,CUSTOMER,xorg is not installed by default when you install a command line system
60 - 82.tsv,AGENT,xorg is installed by default from the alternative cd
60 - 82.tsv,AGENT,how do you install a command line system from the alternative cD ?
60 - 82.tsv,CUSTOMER,press f4 at boot prompts
60 - 82.tsv,AGENT,"super, thank you"
60 - 82.tsv,AGENT,why does the colour matter ?
60 - 82.tsv,CUSTOMER,latter models are supposedly more susceptable
60 - 82.tsv,AGENT,to what ?
60 - 82.tsv,CUSTOMER,why?
60 - 82.tsv,AGENT,why what ?
60 - 82.tsv,CUSTOMER,why do swap partitions lack a uuid
60 - 82.tsv,AGENT,"I'm not %100 certain why, possibly because there is no file system to create a checksum size on"
60 - 82.tsv,AGENT,please don't miss-lead people
60 - 82.tsv,AGENT,STOP
60 - 82.tsv,CUSTOMER,of course
60 - 82.tsv,AGENT,"you don't have to re-install and you should not re-install every 6 months, that is not a method of stopping defragging"
60 - 82.tsv,CUSTOMER,"i reinstall, for clean disk."
